bps,strategy_id,final_nav,CAGR,MDD,trades,turnover,total_fees,score_primary
0.0,candidate,25059.36,44.42,25.1,47,34.3,0.0,116.8964
0.0,baseline,25059.36,44.42,25.1,47,34.3,0.0,116.8964
10.0,candidate,24014.1,41.98,25.75,47,34.32,484.78,109.7231
10.0,baseline,24014.1,41.98,25.75,47,34.32,484.78,109.7231
25.0,candidate,22771.23,39.0,26.75,47,34.38,1178.1,100.8802
25.0,baseline,22771.23,39.0,26.75,47,34.38,1178.1,100.8802
50.0,candidate,20467.95,33.19,28.64,47,34.42,2219.48,83.5484
50.0,baseline,20467.95,33.19,28.64,47,34.42,2219.48,83.5484
75.0,candidate,18834.87,28.83,30.26,47,34.43,3155.9,70.5822
75.0,baseline,18834.87,28.83,30.26,47,34.43,3155.9,70.5822
100.0,candidate,15321.02,18.61,33.96,46,33.99,3582.84,39.288
100.0,baseline,15321.02,18.61,33.96,46,33.99,3582.84,39.288
