trade_id,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
2,1554926400000,1556424000000,5170.82,5303.65,0.79149669,100.94,2.57,17.33,vdo_trend_accel,trailing_stop
3,1556496000000,1558065600000,5388.94,7339.90,1.71623102,3335.70,36.20,18.17,vdo_trend_accel,trailing_stop
4,1558123200000,1559606400000,7622.66,8111.20,1.65211708,793.73,6.41,17.17,vdo_dip_buy,trailing_stop
5,1559793600000,1561651200000,7883.53,11823.49,1.70516455,6698.13,49.98,21.50,vdo_trend_accel,trailing_stop
6,1562126400000,1562904000000,11436.42,11183.36,1.35858538,-359.01,-2.21,9.00,vdo_trend_accel,trailing_stop
7,1563436800000,1563897600000,10494.30,9925.13,1.11627440,-646.43,-5.42,5.33,vdo_trend_accel,trailing_stop
8,1564027200000,1565438400000,9881.83,11388.96,1.84728409,2763.06,15.25,16.33,vdo_trend_accel,trailing_stop
9,1565971200000,1566403200000,10328.39,9981.28,2.05049790,-732.22,-3.36,5.00,vdo_trend_accel,emergency_dd
10,1566576000000,1567022400000,10267.12,9679.90,1.77708456,-1060.73,-5.72,5.17,vdo_trend_accel,emergency_dd
11,1567209600000,1568001600000,9637.44,10294.56,2.12097694,1371.89,6.82,9.17,vdo_trend_accel,trailing_stop
12,1568246400000,1568865600000,10240.29,9817.30,2.08983247,-904.49,-4.13,7.17,vdo_trend_accel,emergency_dd
13,1568937600000,1569283200000,10151.07,9696.86,1.31048744,-607.93,-4.47,4.00,vdo_trend_accel,emergency_dd
14,1569456000000,1572580800000,8259.12,9059.14,2.37771848,1880.66,9.69,36.17,vdo_dip_buy,trailing_stop
15,1572652800000,1573833600000,9272.20,8474.79,2.08057950,-1676.71,-8.60,13.67,vdo_trend,emergency_dd
16,1573963200000,1574352000000,8486.68,7627.23,0.84304341,-730.98,-10.13,4.50,vdo_trend_accel,emergency_dd
17,1579248000000,1581883200000,9167.65,9740.55,1.95239778,1099.52,6.25,30.50,vdo_trend_accel,trailing_stop
18,1582041600000,1582704000000,9825.20,9143.05,2.11225417,-1460.18,-6.94,7.67,vdo_trend_accel,emergency_dd
19,1582934400000,1583668800000,8698.78,8736.49,2.12114660,61.45,0.43,8.50,vdo_trend_accel,trailing_stop
20,1583899200000,1584000000000,7931.96,7388.05,1.31821234,-726.72,-6.86,1.17,vdo_trend_accel,emergency_dd
21,1588320000000,1589083200000,9178.31,8617.99,0.18011681,-102.48,-6.10,8.83,vdo_trend,trailing_stop
22,1589731200000,1590364800000,9707.65,8713.35,1.58321855,-1588.00,-10.24,7.33,vdo_trend_accel,emergency_dd
23,1590480000000,1591257600000,9117.77,9644.28,1.78602327,923.14,5.77,9.00,vdo_trend_accel,trailing_stop
24,1591315200000,1593288000000,9627.90,8932.54,1.79870120,-1266.82,-7.22,22.83,vdo_trend_accel,emergency_dd
25,1593460800000,1596412800000,9181.71,11065.27,1.70898120,3200.05,20.51,34.17,vdo_trend_accel,trailing_stop
26,1597032000000,1598054400000,11892.26,11524.89,1.52233096,-576.80,-3.09,11.83,vdo_trend_accel,emergency_dd
27,1598140800000,1599148800000,11696.08,10664.41,1.55904876,-1625.04,-8.82,11.67,vdo_trend_accel,emergency_dd
28,1599379200000,1600704000000,10246.21,10413.04,1.61849566,253.16,1.63,15.33,vdo_trend_accel,trailing_stop
29,1601107200000,1603958400000,10729.41,13131.64,1.60900329,3844.08,22.39,33.00,vdo_trend,trailing_stop
30,1604131200000,1606377600000,13905.98,17601.24,1.49455192,5496.45,26.57,26.00,vdo_trend,trailing_stop
31,1606564800000,1607472000000,18125.35,18314.03,1.44823035,246.73,1.04,10.50,vdo_trend_accel,trailing_stop
32,1607745600000,1610352000000,18464.89,34353.35,1.40031843,22200.80,86.05,30.17,vdo_trend_accel,trailing_stop
33,1610553600000,1611115200000,36355.58,35043.21,0.85029957,-1145.70,-3.61,6.50,vdo_trend,trailing_stop
34,1611374400000,1612713600000,34946.18,37900.27,0.81174222,2367.20,8.45,15.50,vdo_trend,trailing_stop
35,1612800000000,1614052800000,47755.61,51872.19,0.80376359,3267.06,8.62,14.50,vdo_trend_accel,trailing_stop
36,1614643200000,1615809600000,51384.85,56119.92,0.92798468,4341.99,9.21,13.50,vdo_trend_accel,trailing_stop
37,1616256000000,1618675200000,58198.75,60231.51,0.91683200,1808.48,3.49,28.00,vdo_trend_accel,trailing_stop
38,1619323200000,1620172800000,51094.68,53175.79,1.00192579,2031.84,4.07,9.83,vdo_trend,trailing_stop
39,1620302400000,1620936000000,58019.90,48543.26,0.32336353,-3080.10,-16.33,7.33,vdo_trend_accel,fixed_stop
40,1621497600000,1621785600000,39643.40,33298.10,0.29842939,-1903.56,-16.01,3.33,vdo_trend_accel,fixed_stop
41,1627689600000,1629345600000,42492.68,44022.75,0.46446826,690.22,3.60,19.17,vdo_trend_accel,trailing_stop
42,1629403200000,1629979200000,47437.25,46810.14,0.93421014,-629.58,-1.32,6.67,vdo_trend_accel,trailing_stop
43,1630080000000,1631073600000,48701.13,46424.86,1.11797648,-2596.72,-4.67,11.50,vdo_trend_accel,trailing_stop
44,1631347200000,1632124800000,45068.75,44805.36,0.36853039,-113.58,-0.58,9.00,vdo_trend,trailing_stop
45,1632326400000,1634860800000,43662.00,62158.95,1.19028288,21942.62,42.36,29.33,vdo_trend_accel,trailing_stop
46,1635134400000,1636718400000,62611.83,63718.13,1.15530938,1204.51,1.77,18.33,vdo_trend_accel,trailing_stop
47,1636963200000,1638590400000,59613.25,51971.41,1.21355387,-9336.85,-12.82,18.83,vdo_trend,emergency_dd
48,1639267200000,1639411200000,49454.33,47226.03,1.05981490,-2411.63,-4.51,1.67,vdo_trend_accel,emergency_dd
49,1639526400000,1640721600000,48787.83,47663.23,0.84512004,-990.70,-2.31,13.83,vdo_trend_accel,trailing_stop
50,1640966400000,1642723200000,48031.78,40658.55,0.39714942,-2944.42,-15.35,20.33,vdo_trend_accel,fixed_stop
51,1680163200000,1681718400000,28402.68,29821.89,2.06207134,2865.02,5.00,18.00,vdo_trend_accel,trailing_stop
52,1681819200000,1681948800000,30397.10,28781.26,1.13812909,-1871.78,-5.32,1.50,vdo_trend_accel,emergency_dd
53,1682193600000,1682956800000,27721.17,28155.15,1.82048399,738.79,1.57,8.83,vdo_trend_accel,trailing_stop
54,1683187200000,1688803200000,27672.45,30176.76,2.18993964,5418.19,9.05,65.00,vdo_trend,trailing_stop
55,1688918400000,1690200000000,30577.55,29253.89,2.15125701,-2910.46,-4.33,14.83,vdo_trend_accel,emergency_dd
56,1690560000000,1692288000000,29381.01,27918.66,2.11400810,-3150.45,-4.98,20.00,vdo_trend_accel,emergency_dd
57,1692345600000,1693512000000,26228.35,26148.40,2.35875572,-250.26,-0.30,13.50,vdo_dip_buy,trailing_stop
58,1696219200000,1698552000000,27835.37,33952.19,2.05017347,12470.93,21.97,27.00,vdo_trend_accel,trailing_stop
59,1698796800000,1700020800000,35058.39,35362.54,2.04624269,550.02,0.87,14.17,vdo_trend,trailing_stop
60,1700078400000,1702324800000,37621.86,40757.56,1.94412561,6016.97,8.33,26.00,vdo_trend_accel,trailing_stop
61,1702483200000,1705118400000,42300.23,42586.51,1.81969354,443.44,0.68,30.50,vdo_trend_accel,trailing_stop
62,1705420800000,1705953600000,43276.24,39798.41,0.65398507,-2300.48,-8.04,6.17,vdo_trend_accel,emergency_dd
63,1706025600000,1708732800000,39689.94,50716.24,1.87285962,20555.74,27.78,31.33,vdo_dip_buy,trailing_stop
64,1708833600000,1709668800000,55216.37,61377.21,1.57244187,9591.05,11.16,9.67,vdo_trend_accel,trailing_stop
65,1710806400000,1712044800000,67738.04,66418.95,1.52719279,-2115.93,-1.95,14.33,vdo_trend,trailing_stop
66,1712246400000,1712952000000,69537.27,66807.22,1.43144337,-4003.54,-3.93,8.17,vdo_trend_accel,trailing_stop
67,1713312000000,1714147200000,63166.89,63468.30,1.53327406,364.83,0.48,9.67,vdo_trend_accel,trailing_stop
68,1714449600000,1716494400000,62448.58,67163.03,1.58599096,7370.55,7.55,23.67,vdo_trend_accel,trailing_stop
69,1716825600000,1718107200000,69584.73,66853.22,1.34384172,-3760.56,-3.93,14.83,vdo_trend_accel,emergency_dd
70,1718208000000,1718640000000,68557.87,65332.05,1.02814985,-3383.79,-4.71,5.00,vdo_trend_accel,emergency_dd
71,1718870400000,1719230400000,64934.34,61258.24,1.44518285,-5401.16,-5.66,4.17,vdo_trend_accel,emergency_dd
72,1719374400000,1720152000000,61397.55,55197.63,1.50036104,-9384.94,-10.10,9.00,vdo_trend_accel,emergency_dd
73,1720281600000,1720411200000,57456.87,55129.67,1.17915601,-2809.15,-4.05,1.50,vdo_trend_accel,emergency_dd
74,1721145600000,1722700800000,66411.34,60845.53,1.18352717,-6659.30,-8.38,18.00,vdo_trend,emergency_dd
75,1722916800000,1724025600000,57011.85,58395.22,1.30280283,1726.19,2.43,12.83,vdo_trend_accel,trailing_stop
76,1724126400000,1724774400000,60438.15,61675.19,1.00548025,1181.81,2.05,7.50,vdo_trend_accel,trailing_stop
77,1725062400000,1727712000000,60982.85,63526.47,1.26423006,3135.41,4.17,30.67,vdo_trend,trailing_stop
78,1727798400000,1728590400000,62340.40,59694.42,1.14583124,-3100.24,-4.24,9.17,vdo_dip_buy,emergency_dd
79,1728676800000,1729684800000,63887.75,66377.48,1.03952857,2519.14,3.90,11.67,vdo_trend_accel,trailing_stop
80,1729800000000,1730448000000,67705.58,69235.60,1.17799021,1720.80,2.26,7.50,vdo_trend_accel,trailing_stop
81,1730692800000,1732464000000,70374.63,95848.78,1.13678189,28849.60,36.20,20.50,vdo_trend_accel,trailing_stop
82,1732665600000,1733774400000,94571.31,97016.95,1.15556629,2713.99,2.59,12.83,vdo_dip_buy,trailing_stop
83,1733846400000,1734566400000,99450.42,100148.91,1.13995782,682.07,0.70,8.33,vdo_dip_buy,trailing_stop
84,1734825600000,1736280000000,95897.94,96398.95,1.18383188,479.00,0.52,16.83,vdo_trend,trailing_stop
85,1736539200000,1737633600000,96000.69,101888.44,1.16277779,6727.66,6.13,12.67,vdo_trend_accel,trailing_stop
86,1737734400000,1738526400000,105177.41,98219.13,1.12739366,-7955.46,-6.62,9.17,vdo_trend_accel,emergency_dd
87,1738699200000,1740470400000,97903.79,89270.89,1.14040720,-9946.82,-8.82,20.50,vdo_trend_accel,emergency_dd
88,1740571200000,1740715200000,86147.74,80408.65,0.97258590,-5659.97,-6.66,1.67,vdo_dip_buy,emergency_dd
89,1740772800000,1741075200000,87742.43,83140.65,0.99492459,-4661.14,-5.24,3.50,vdo_trend_accel,trailing_stop
90,1741176000000,1741320000000,90452.35,86943.42,0.93690179,-3368.98,-3.88,1.67,vdo_trend_accel,emergency_dd
91,1743264000000,1743926400000,82546.08,82979.31,1.07845881,377.73,0.52,7.67,vdo_dip_buy,trailing_stop
92,1745208000000,1746403200000,89404.48,94225.76,0.97559807,4611.71,5.39,13.83,vdo_trend_accel,trailing_stop
93,1746561600000,1748174400000,96402.36,107201.01,0.96610179,10329.02,11.20,18.67,vdo_trend_accel,trailing_stop
94,1748880000000,1752566400000,105156.84,116714.91,1.01124492,11570.01,10.99,42.67,vdo_trend,trailing_stop
95,1753084800000,1754078400000,118841.71,113266.35,0.96051260,-5464.00,-4.69,11.50,vdo_trend_accel,emergency_dd
96,1754251200000,1755273600000,116059.25,117210.74,0.96485037,997.92,0.99,11.83,vdo_trend_accel,trailing_stop
97,1755734400000,1756152000000,113883.33,110655.24,0.99315693,-3315.90,-2.83,4.83,vdo_trend_accel,emergency_dd
98,1756224000000,1758427200000,110703.63,115605.81,0.96359505,4612.32,4.43,25.50,vdo_dip_buy,trailing_stop
99,1758715200000,1760112000000,110689.74,118953.54,0.99740750,8123.72,7.47,16.17,vdo_trend_accel,trailing_stop
100,1760284800000,1760630400000,114280.36,108489.52,0.85386153,-5037.22,-5.07,4.00,vdo_trend_accel,emergency_dd
101,1760846400000,1761782400000,109244.77,109960.80,1.01938664,617.81,0.66,10.83,vdo_trend_accel,trailing_stop
102,1762329600000,1763064000000,103081.12,98627.86,0.95523610,-4348.13,-4.32,8.50,vdo_dip_buy,emergency_dd
