removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,497466.27,82.406605,1.270151,0.0,0.0,0.0
1,0.54,304961.26,69.178564,1.208158,192505.01,13.228041,0.061993
2,1.08,188545.02,57.115019,1.145161,116416.24,12.063545,0.062997
3,1.61,119074.27,46.389677,1.079207,69470.75,10.725342,0.065954
4,2.15,84587.56,38.8873,0.999554,34486.71,7.502377,0.079653
5,2.69,63713.44,32.962096,0.918631,20874.12,5.925204,0.080923
6,3.23,48342.09,27.432685,0.83323,15371.35,5.529411,0.085401
7,3.76,37625.52,22.612788,0.746685,10716.57,4.819897,0.086545
8,4.3,29977.97,18.400678,0.660326,7647.55,4.21211,0.086359
9,4.84,23909.84,14.351681,0.568364,6068.13,4.048997,0.091962
10,5.38,19117.92,10.483791,0.470206,4791.92,3.86789,0.098158
11,5.91,15462.61,6.935133,0.368664,3655.31,3.548658,0.101542
12,6.45,12857.57,3.94262,0.272663,2605.04,2.992513,0.096001
13,6.99,10903.91,1.340229,0.181155,1953.66,2.602391,0.091508
14,7.53,9332.3,-1.057506,0.08973,1571.61,2.397735,0.091425
15,8.06,7993.65,-3.386516,-0.006701,1338.65,2.32901,0.096431
16,8.6,6880.46,-5.589986,-0.105816,1113.19,2.20347,0.099115
17,9.14,5934.19,-7.714707,-0.210011,946.27,2.124721,0.104195
18,9.68,5132.34,-9.752936,-0.319267,801.85,2.038229,0.109256
19,10.22,4482.3,-11.613751,-0.427239,650.04,1.860815,0.107972
20,10.75,3952.87,-13.306482,-0.532751,529.43,1.692731,0.105512
21,11.29,3540.76,-14.762591,-0.628171,412.11,1.456109,0.09542
22,11.83,3175.53,-16.178306,-0.727498,365.23,1.415715,0.099327
23,12.37,2849.54,-17.563568,-0.832007,325.99,1.385262,0.104509
24,12.9,2561.86,-18.90229,-0.940598,287.68,1.338722,0.108591
25,13.44,2312.29,-20.171083,-1.050761,249.57,1.268793,0.110163
26,13.98,2103.61,-21.324259,-1.15635,208.68,1.153176,0.105589
27,14.52,1919.47,-22.425305,-1.26373,184.14,1.101046,0.10738
28,15.05,1769.58,-23.389589,-1.361067,149.89,0.964284,0.097337
29,15.59,1637.8,-24.296322,-1.457088,131.78,0.906733,0.096021
30,16.13,1518.17,-25.174564,-1.555368,119.63,0.878242,0.09828
31,16.67,1412.02,-26.004331,-1.652782,106.15,0.829767,0.097414
32,17.2,1314.62,-26.813542,-1.753318,97.4,0.809211,0.100536
33,17.74,1226.69,-27.588893,-1.854817,87.93,0.775351,0.101499
34,18.28,1145.38,-28.348851,-1.960429,81.31,0.759958,0.105612
35,18.82,1071.59,-29.079198,-2.067684,73.79,0.730347,0.107255
36,19.35,1005.07,-29.774979,-2.175366,66.52,0.695781,0.107682
37,19.89,946.69,-30.418503,-2.279235,58.38,0.643524,0.103869
