candidate,exit_delay_bars,n_trades,sharpe,cagr_native,mdd_native,delta_sharpe,delta_cagr,delta_mdd,suppressed_entries
E0,1,191,0.9696,0.4597,0.3855,-0.1683,-0.1586,0.0725,0
E0,2,188,1.0470,0.5012,0.4357,-0.0909,-0.1171,0.1226,0
E0,3,187,0.9621,0.4358,0.4038,-0.1758,-0.1824,0.0907,0
E0,4,185,0.8953,0.4193,0.4349,-0.2426,-0.1990,0.1218,0
E5,1,206,1.1171,0.5966,0.3725,-0.1128,-0.0757,0.0307,0
E5,2,203,1.1045,0.5753,0.4134,-0.1253,-0.0970,0.0715,0
E5,3,200,1.0813,0.5503,0.3728,-0.1485,-0.1220,0.0309,0
E5,4,198,0.9785,0.4471,0.4356,-0.2513,-0.2252,0.0937,0
SM,1,65,0.8040,0.1760,0.1153,-0.0121,-0.0060,0.0036,0
SM,2,65,0.7545,0.1670,0.1365,-0.0616,-0.0150,0.0248,0
SM,3,65,0.7418,0.1638,0.1504,-0.0743,-0.0182,0.0387,0
SM,4,65,0.7424,0.1645,0.1441,-0.0736,-0.0174,0.0324,0
E0_plus_EMA1D21,1,173,1.0292,0.5158,0.3414,-0.1544,-0.1516,0.0594,0
E0_plus_EMA1D21,2,170,1.0949,0.5472,0.3847,-0.0887,-0.1202,0.1027,0
E0_plus_EMA1D21,3,168,1.0290,0.4997,0.3507,-0.1546,-0.1676,0.0687,0
E0_plus_EMA1D21,4,168,0.9604,0.4866,0.3838,-0.2233,-0.1807,0.1018,0
E5_plus_EMA1D21,1,186,1.1785,0.6606,0.3313,-0.1016,-0.0656,0.0036,0
E5_plus_EMA1D21,2,184,1.1631,0.6353,0.3464,-0.1170,-0.0908,0.0187,0
E5_plus_EMA1D21,3,180,1.1321,0.6087,0.3431,-0.1479,-0.1175,0.0153,0
E5_plus_EMA1D21,4,179,1.0494,0.5172,0.3757,-0.2307,-0.2090,0.0480,0
