sharpe,cagr_pct,max_dd_pct,trades,win_rate_pct,profit_factor,avg_exposure,avg_days_held,sortino,calmar,final_nav,total_return_pct,years,epoch,strategy
1.1849,46.69,37.34,72,54.17,1.5366,0.396,4.0,1.0422,1.2504,21524.05,115.24,2.0,Pre-2021,V3
2.6148,177.8,33.58,60,46.67,2.9055,0.4679,5.55,2.4587,5.2942,77242.16,672.42,2.0,Pre-2021,V4
2.5694,183.84,36.3,55,45.45,2.4562,0.5107,6.41,2.4938,5.0644,80643.65,706.44,2.0,Pre-2021,E5+EMA21D1
1.1717,43.48,28.44,44,56.82,1.7038,0.2587,4.29,0.8461,1.5289,20573.91,105.74,2.0,2021-2022,V3
1.1372,44.96,26.19,43,46.51,1.6399,0.2954,5.02,0.8849,1.7166,20999.54,110.0,2.0,2021-2022,V4
1.0017,39.21,35.08,44,38.64,1.453,0.337,5.59,0.8402,1.1178,19369.09,93.69,2.0,2021-2022,E5+EMA21D1
2.3068,90.04,27.58,67,61.19,2.9451,0.3849,4.2,2.059,3.2649,36137.12,261.37,2.0,2023-2024,V3
2.3591,99.46,21.71,63,53.97,2.437,0.4879,5.66,2.3596,4.5823,39809.08,298.09,2.0,2023-2024,V4
1.8604,77.9,30.63,63,46.03,2.5566,0.5417,6.29,1.9187,2.543,31665.71,216.66,2.0,2023-2024,E5+EMA21D1
0.7395,13.51,18.69,28,46.43,1.3666,0.2897,4.3,0.5792,0.7226,11551.72,15.52,1.14,2025+,V3
0.1275,0.55,16.34,30,43.33,1.0153,0.3285,4.56,0.1066,0.0338,10062.99,0.63,1.14,2025+,V4
0.4226,6.95,12.71,26,46.15,1.2277,0.3474,5.56,0.3675,0.5462,10794.44,7.94,1.14,2025+,E5+EMA21D1
