block_len,n_boot,prob_delta_sharpe_gt0,delta_sharpe_p05,delta_sharpe_median,delta_sharpe_p95,comparison
12,1200,0.9658333333333333,0.05091432522088174,0.45821611182689126,0.9015843986996744,combo1_vs_combo3
24,1200,0.965,0.026687554046094377,0.4529281806373827,0.8967286637598548,combo1_vs_combo3
48,1200,0.9466666666666667,-0.017771178818484144,0.43433193292796746,0.8733278655969738,combo1_vs_combo3
72,1200,0.9625,0.038032932073975546,0.4419747677021163,0.8976961725011927,combo1_vs_combo3
144,1200,0.975,0.07963883818703953,0.45288542079364236,0.8567998965064502,combo1_vs_combo3
288,1200,0.9825,0.10789099147313136,0.4551488245739935,0.8029499719075822,combo1_vs_combo3
12,1200,0.9616666666666667,0.02924676740728332,0.3556876949823813,0.675778350722114,combo2_vs_combo3
24,1200,0.9708333333333333,0.04302024263385436,0.34218116228805395,0.659476418844094,combo2_vs_combo3
48,1200,0.9558333333333333,0.011475092914182085,0.3480579994626938,0.7098361138939966,combo2_vs_combo3
72,1200,0.9641666666666666,0.026666693885987486,0.34728685589153296,0.7363454179177354,combo2_vs_combo3
144,1200,0.9466666666666667,-0.010238739060619902,0.3401050258481837,0.727167088856129,combo2_vs_combo3
288,1200,0.9525,0.007373575066057009,0.3299522681105446,0.7698268416394611,combo2_vs_combo3
12,1200,0.6391666666666667,-0.3602412218696238,0.10244024987308309,0.552740276182252,combo1_vs_combo2
24,1200,0.6383333333333333,-0.35688390374810885,0.10636631963030063,0.568091073841395,combo1_vs_combo2
48,1200,0.63,-0.34984572133399233,0.08882836114601222,0.5354853681346927,combo1_vs_combo2
72,1200,0.6533333333333333,-0.3043561215521618,0.11020409735388004,0.5300871180132961,combo1_vs_combo2
144,1200,0.6525,-0.2799906505852904,0.09717898409591297,0.5260106674222116,combo1_vs_combo2
288,1200,0.665,-0.2897572834340506,0.09530448900773603,0.501363311050525,combo1_vs_combo2
