family,pair,mode,thr,sharpe_daily,cagr,max_drawdown,trade_count,exposure,net_return,positive_fold_share,min_fold_cagr,thresholds
d1_vcl,"(5, 20)",train_quantile,0.65,1.334188156047845,0.8122048807733615,-0.5287867659508969,110,0.6167883211678832,4.953860029334649,0.8333333333333334,-0.47946468130144404,"[1.000573975937665, 1.0069969635210918, 1.0086476263111912, 1.031952998381425, 1.0327378441083332, 1.0333558167800911]"
d1_vcl,"(5, 20)",fixed_level,1.0,1.3115383100172988,0.7828645506540084,-0.5161792419317945,108,0.6021897810218978,4.669267255942248,0.8333333333333334,-0.44642613694921296,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
d1_vcl,"(6, 24)",train_quantile,0.5,1.2737954460861483,0.6729767162437879,-0.47681251913193723,104,0.46167883211678834,3.6840622764039646,0.8333333333333334,-0.24344566809215717,"[0.865270312378631, 0.874225389142907, 0.8769854154426576, 0.8943384481993956, 0.9022175794621806, 0.9036588730434276]"
d1_vcl,"(6, 24)",train_quantile,0.65,1.1806905683432953,0.6592980106867947,-0.5405953359653617,97,0.6122262773722628,3.570079001007465,0.6666666666666666,-0.30236176664153736,"[1.0046237924184236, 1.0117428816137948, 1.0160432679332922, 1.0343644914728138, 1.03454314592362, 1.039384494630327]"
d1_vcl,"(6, 24)",fixed_level,1.0,1.168902431307009,0.641832186138575,-0.5272932796386005,103,0.593065693430657,3.4272462647963122,0.6666666666666666,-0.35742337579976946,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
d1_vcl,"(5, 20)",fixed_level,1.2,1.119134812071953,0.6451217877616573,-0.6080578580695293,75,0.7655109489051095,3.4539172291203935,0.8333333333333334,-0.4657526722957227,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
d1_vcl,"(5, 20)",train_quantile,0.8,1.0986278589306253,0.6386055909397215,-0.6233084498332007,72,0.7992700729927007,3.401189789776784,0.8333333333333334,-0.5700970944548649,"[1.2338537712566342, 1.234485368782424, 1.236316582474172, 1.2380378618899524, 1.2276390566882958, 1.2304491641182944]"
d1_vcl,"(4, 16)",fixed_level,1.2,1.0929433644617792,0.6190524052065745,-0.6375937937738219,92,0.7591240875912408,3.245471694915257,0.6666666666666666,-0.6510436163107762,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
d1_vcl,"(4, 16)",train_quantile,0.8,1.0758400723643764,0.6126387090891159,-0.6955535120025883,77,0.8074817518248175,3.195206008416121,0.6666666666666666,-0.6736253458212331,"[1.2610276901548672, 1.2673990148493368, 1.2697510819108464, 1.2760302692915801, 1.2597456881250413, 1.255511179035269]"
d1_vcl,"(6, 24)",fixed_level,1.2,0.9452569293169678,0.48264815576791564,-0.6923572972176945,62,0.7746350364963503,2.2601033971603335,0.5,-0.5774359589338436,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
d1_vcl,"(4, 16)",fixed_level,1.0,0.9175017741323964,0.4281839577664077,-0.6492396278737116,125,0.5903284671532847,1.9137909862961013,0.6666666666666666,-0.6517385563705025,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
d1_vcl,"(4, 16)",train_quantile,0.65,0.8933640605995306,0.41295201746102195,-0.6177387510932559,121,0.6231751824817519,1.821532117439884,0.6666666666666666,-0.7156189627318694,"[1.006778988225944, 1.0264188392295424, 1.031377101061296, 1.0493474940681484, 1.0458641621100153, 1.0456807742776892]"
d1_vcl,"(6, 24)",train_quantile,0.8,0.892728812480809,0.4390211868570921,-0.7168829846990576,59,0.791970802919708,1.9806415797110164,0.6666666666666666,-0.6347682431806527,"[1.2183966069106098, 1.2233307806734557, 1.2258879910911133, 1.224186992331274, 1.2154232158562372, 1.2221394996981876]"
d1_vcl,"(5, 20)",train_quantile,0.5,0.5081109888739785,0.13843086813998307,-0.6242694738391166,105,0.4698905109489051,0.47556562312218675,0.6666666666666666,-0.6448634063559007,"[0.8448279051890074, 0.8595638472708975, 0.8636171470113322, 0.881359913014285, 0.8870872865522379, 0.8885122280057081]"
d1_vcl,"(4, 16)",train_quantile,0.5,0.419718825494262,0.08957474640014507,-0.7831155489678525,121,0.46897810218978103,0.2935898150687932,0.5,-0.6149594380373544,"[0.8389127909260928, 0.845575209028575, 0.8519008045645077, 0.8626866204599175, 0.8672461689216686, 0.8685159453251465]"
